2022-08-11 09:08:79 INFO  TradePage :49 - Click on skip tutorial popup : [[ChromeDriver: chrome on WINDOWS (e1bdf899328571f2fd8c6234f6910be5)] -> xpath: //span[contains(text(),'Skip Tutorial')]]
2022-08-11 09:08:908 INFO  TradePage :55 - Click on close button: [[ChromeDriver: chrome on WINDOWS (e1bdf899328571f2fd8c6234f6910be5)] -> xpath: //button[normalize-space()='Close']]
2022-08-11 09:08:193 INFO  TradePage :61 - Click on crypto currency: [[ChromeDriver: chrome on WINDOWS (e1bdf899328571f2fd8c6234f6910be5)] -> xpath: //div[contains(text(),'Crypto')]]
2022-08-11 09:08:583 INFO  TradePage :67 - Click on BCHUSD star icon: [[ChromeDriver: chrome on WINDOWS (e1bdf899328571f2fd8c6234f6910be5)] -> xpath: (//div[@class='watchlist-entity.component_favCell__1pYE6']//i//i)[1]]
2022-08-11 09:08:740 INFO  TradePage :69 - Click on BTCEUR star icon: [[ChromeDriver: chrome on WINDOWS (e1bdf899328571f2fd8c6234f6910be5)] -> xpath: (//div[@class='watchlist-entity.component_favCell__1pYE6']//i//i)[2]]
2022-08-11 09:08:863 INFO  TradePage :71 - Click on bTCJPY star icon: [[ChromeDriver: chrome on WINDOWS (e1bdf899328571f2fd8c6234f6910be5)] -> xpath: (//div[@class='watchlist-entity.component_favCell__1pYE6']//i//i)[3]]
2022-08-11 09:08:981 INFO  TradePage :75 - Click on favorites button [[ChromeDriver: chrome on WINDOWS (e1bdf899328571f2fd8c6234f6910be5)] -> xpath: //div[contains(text(),'Favorites')]]
2022-08-11 09:08:799 INFO  ManageDriver :31 - Launching Chrome Browser
2022-08-11 09:08:930 INFO  DemoAccountPage :57 - Enter first name: [[ChromeDriver: chrome on WINDOWS (fee3fc8851f78d6060e972d4241c0310)] -> id: name]
2022-08-11 09:08:166 INFO  DemoAccountPage :61 - Enter last name: [[ChromeDriver: chrome on WINDOWS (fee3fc8851f78d6060e972d4241c0310)] -> id: name]
2022-08-11 09:08:575 INFO  DemoAccountPage :65 - Enter email id: [[ChromeDriver: chrome on WINDOWS (fee3fc8851f78d6060e972d4241c0310)] -> id: email]
2022-08-11 09:08:807 INFO  DemoAccountPage :69 - Enter phone number: [[ChromeDriver: chrome on WINDOWS (fee3fc8851f78d6060e972d4241c0310)] -> id: email]
